native_id,location_id,avg_NO2_365_19900101,lods_NO2_365_19900101,obs_NO2_365_19900101,avg_NO2_365_19910101,lods_NO2_365_19910101,obs_NO2_365_19910101,avg_NO2_366_19920101,lods_NO2_366_19920101,obs_NO2_366_19920101,avg_NO2_365_19930101,lods_NO2_365_19930101,obs_NO2_365_19930101,avg_NO2_365_19940101,lods_NO2_365_19940101,obs_NO2_365_19940101,avg_NO2_365_19950101,lods_NO2_365_19950101,obs_NO2_365_19950101,avg_NO2_366_19960101,lods_NO2_366_19960101,obs_NO2_366_19960101,avg_NO2_365_19970101,lods_NO2_365_19970101,obs_NO2_365_19970101,avg_NO2_365_19980101,lods_NO2_365_19980101,obs_NO2_365_19980101,avg_NO2_365_19990101,lods_NO2_365_19990101,obs_NO2_365_19990101,avg_NO2_366_20000101,lods_NO2_366_20000101,obs_NO2_366_20000101,avg_NO2_365_20010101,lods_NO2_365_20010101,obs_NO2_365_20010101,avg_NO2_365_20020101,lods_NO2_365_20020101,obs_NO2_365_20020101,avg_NO2_365_20030101,lods_NO2_365_20030101,obs_NO2_365_20030101,avg_NO2_366_20040101,lods_NO2_366_20040101,obs_NO2_366_20040101,avg_NO2_365_20050101,lods_NO2_365_20050101,obs_NO2_365_20050101,avg_NO2_365_20060101,lods_NO2_365_20060101,obs_NO2_365_20060101,avg_NO2_365_20070101,lods_NO2_365_20070101,obs_NO2_365_20070101,avg_NO2_366_20080101,lods_NO2_366_20080101,obs_NO2_366_20080101,avg_NO2_365_20090101,lods_NO2_365_20090101,obs_NO2_365_20090101,avg_NO2_365_20100101,lods_NO2_365_20100101,obs_NO2_365_20100101,avg_NO2_365_20110101,lods_NO2_365_20110101,obs_NO2_365_20110101,avg_NO2_366_20120101,lods_NO2_366_20120101,obs_NO2_366_20120101
010710020,1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44255,,322,,,,,,,,,,,,,,,,,,,,,,,,
010890014,1598,,,,13.96278,,360,13.00629,,350,12.90892,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011170004,369261,,,,,,,,,,,,,,,,11.54847,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040130019,3839,,,,,,,,,,,,,,,,28.53877,,325,28.72078,,332,27.85093,,322,28.15965,,347,30.97398,,342,28.47121,,330,25.49827,,347,,,,,,,23.88423,,355,23.65298,,336,23.80730,,356,21.12421,,347,19.12667,765,315,17.17851,1277,335,18.30776,873,335,17.99532,555,342,19.39863,149,365
040133002,3919,,,,16.13554,,332,,,,,,,,,,32.66722,,360,31.61201,,358,32.10831,,301,29.87479,,353,33.29643,,336,29.19072,1,334,28.69767,,344,29.19601,,326,,,,24.80000,,345,26.25294,,357,25.06113,,355,23.59803,,356,21.63438,114,349,20.93499,228,363,19.19395,888,347,20.17339,445,342,21.13352,79,355
040133003,3920,,,,,,,,,,,,,,,,25.87745,,306,24.76019,,319,,,,24.16458,,336,31.12577,,326,29.88904,,356,21.63851,,335,23.57942,,345,,,,19.55341,,337,19.70144,,348,19.32006,,339,16.52378,,328,14.67622,858,349,13.99257,1027,350,14.04573,736,328,,,,,,
040133010,3899,,,,,,,,,,,,,,,,,,,,,,,,,35.04324,,333,41.09655,,319,36.27507,,345,36.92532,,308,34.92746,,346,,,,31.33068,,352,31.67131,,352,31.04184,,337,29.06934,,349,26.16488,378,336,25.27514,467,350,24.64553,398,347,25.34365,188,362,25.96462,80,359
040134005,3831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.99314,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040134011,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00965,,342,11.06787,,333,10.71992,,261,9.37577,1771,326,8.66218,2075,357,7.89226,2104,336,8.76565,1314,361,9.33626,1270,364
040139997,3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.23077,,364,25.71601,,356,23.82500,,340,23.33619,,362,22.86211,,351,23.01464,,362,23.54247,,365,22.39342,,365,20.58414,,353,20.07485,,342,18.27023,,346,17.72789,3,294,16.82801,,357,18.05470,,351
040190002,3832,,,,,,,24.45199,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040190019,226756,21.68125,,304,,,,22.99547,,331,21.77305,,334,20.72079,,356,20.40604,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040191011,3858,18.75487,,339,17.66928,,332,16.39011,,354,17.76429,,336,18.97415,,352,19.33480,,319,17.69883,,341,17.88297,,364,16.59078,,358,18.24460,,361,17.10423,,355,15.41916,,334,16.54548,,354,17.17110,,353,15.32186,,366,14.88247,,365,15.78953,,363,13.40055,,365,13.42327,,361,12.33397,,365,11.61397,,365,12.08104,,364,11.07025,2437,363
040191028,3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.89433,,335,16.25278,,360,17.05710,,359,16.99861,,361,17.13259,,359,15.93819,,364,15.26192,,365,14.81019,,363,13.05118,,338,11.02700,1763,337,10.07790,2105,353,10.00223,1916,359,11.52061,1904,359,13.30476,1430,294
040270006,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37853,,354,,,,,,,,,,,,,,,,,,
050350005,2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92775,,364,11.22767,,365,10.07459,2536,366,8.45385,3112,364,10.17507,2789,365,9.62110,2732,365,,,
051190007,2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37676,,340,14.31373,,357,14.06833,,341,12.03362,,345,11.88407,,364,10.81878,,362,9.02082,320,365,9.15833,146,360,9.97107,2,363,10.01413,,361,10.56530,5,366
051191002,2057,9.51345,2,357,8.63544,4,364,11.74011,,364,8.97170,,364,11.31068,,365,10.89385,,358,10.84478,,364,10.48521,,365,10.67361,,360,11.62555,,364,10.35280,,339,10.47161,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060010003,1885,20.56082,,342,21.50967,,362,19.18880,,366,19.23641,1,357,19.67765,,358,19.02060,,364,19.22438,,361,17.73231,,359,18.87837,,356,19.98409,,352,17.35120,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060010007,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77324,,355,17.16177,,361,17.48273,,359,15.52652,,362,14.18640,,353,14.29804,,357,14.13066,,362,12.98315,,362,12.75275,17,364,11.95363,7,358,10.65437,85,355,11.24361,119,360,10.97479,101,357
060010009,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92624,,343,14.17458,,358,13.14620,,355,13.10476,5,357,12.40855,5,351
060010010,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90437,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060010011,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.58222,,343,15.68997,,349,15.06441,,354
060011001,1882,23.24050,1,358,24.23602,1,347,21.52696,,345,22.20418,,359,22.29124,,354,21.23077,,351,21.88444,,360,19.85512,,361,20.23898,,354,21.80194,,361,19.62932,,365,19.42145,,359,19.07047,,342,17.02117,,359,15.06544,,353,15.44111,,360,15.23258,,356,14.36676,,352,13.97155,,362,13.06544,,353,,,,,,,,,
060012004,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.26975,1,357,12.90529,16,359,12.91343,1,350,,,,,,
060012005,369288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56295,596,359
060070002,369279,15.10969,,351,15.39205,,302,16.05785,,344,16.19601,,351,15.25694,,353,14.02493,,357,12.97994,,359,13.21089,,358,13.32861,,353,15.26639,,360,12.44331,,344,11.72972,,360,11.65517,,348,10.78000,,360,10.62555,,364,9.27182,,362,9.30440,,364,9.68532,,327,9.06472,59,360,8.29973,34,364,7.21648,10,364,8.04162,429,358,,,
060130002,1866,21.24592,,355,22.36410,2,351,19.64150,,359,19.62765,,358,20.45348,,359,18.89586,,362,17.23923,,362,16.06934,,362,16.31074,,363,17.60222,,360,15.97939,,359,15.46066,,361,14.55810,,358,13.42642,,352,12.23797,,345,11.56444,,360,10.80859,,361,10.66667,,360,10.06379,2,359,9.32409,12,357,8.29063,,352,8.83736,21,356,8.39777,41,358
060130003,226850,19.85571,,350,19.79913,,345,19.53605,,344,,,,17.97917,,360,16.96676,,364,16.39331,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060130010,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84586,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060131002,369293,14.55859,3,355,16.43775,,355,16.21247,,361,15.48630,,365,13.68309,,337,11.02092,,349,10.53600,,350,9.89448,,362,10.31868,,364,10.96612,,363,9.96541,,344,9.79410,,356,9.92131,,352,8.71722,,360,7.90083,,361,7.36694,,363,7.86529,,363,7.93539,,356,7.17348,36,362,6.31783,64,359,5.71268,73,355,6.78472,16,360,6.61357,5,361
060131003,1879,,,,,,,,,,,,,,,,,,,,,,,,,14.32639,,360,14.48306,,360,13.88430,,363,13.79176,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060131004,369294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37833,,360,13.09190,,358,11.95511,,352,12.62514,,354,12.05815,,356,11.70059,12,339,,,,,,,9.88017,93,358,9.31105,141,353
060132007,369289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25304,85,362
060133001,1860,17.24927,2,341,17.91700,2,347,17.87706,,340,17.17599,,354,16.53232,,362,15.88873,,355,15.11511,,364,13.73306,,363,13.83463,,361,14.80693,,361,13.25500,,360,13.70442,,362,13.23712,,361,11.54150,,347,10.65634,,355,10.68094,,362,10.90817,,355,9.56006,,358,10.08789,7,355,,,,,,,,,,,,
060170009,226817,11.63353,,334,11.93263,,334,11.38156,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060170011,369281,,,,,,,,,,10.59354,33,356,12.13314,,353,11.41076,2,344,10.68399,2,356,11.10280,,357,9.85000,2,354,10.81922,1,359,10.74792,,361,10.62727,,363,11.60680,,353,10.06591,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,
060170012,369282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54337,71,249,1.58367,43,300,1.70196,62,357,,,,,,,,,,,,,,,,,,,,,,,,,,,
060190007,1060,25.71396,,351,24.65407,,344,23.13811,,349,23.24011,,354,22.83861,,360,21.16192,,344,21.35506,,356,19.61490,,349,19.74928,,349,23.68599,,357,20.27667,,330,19.97493,,351,,,,19.85058,,344,17.70167,,360,17.18162,,359,17.15776,,348,16.15173,,346,15.28778,8,360,13.54615,8,338,,,,12.88867,5,300,13.30903,2,299
060190008,1063,,,,23.24277,,339,19.43272,,324,22.51763,,312,22.33448,,319,22.10923,,336,20.90838,,334,20.85763,,354,19.92853,,361,23.32599,,354,20.87151,,351,21.19914,,349,19.53739,,353,18.81704,,358,17.27849,,358,17.02367,,338,17.14972,,354,16.62661,,357,15.53897,5,349,14.27809,42,356,12.63361,143,360,11.97635,572,351,,,
060190011,369303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89402,206,301
060190242,1093,,,,17.36766,,334,16.69380,,355,16.08575,,351,16.41690,,361,16.50335,,358,16.17452,,361,15.22401,,354,15.99261,,352,18.42848,,323,15.51354,,347,15.34360,,344,15.30282,,355,13.78750,,360,11.46377,,345,10.67410,,363,11.39826,,344,10.08971,,350,,,,7.07413,186,317,,,,,,,6.92719,143,320
060194001,1069,,,,,,,,,,,,,15.22241,,299,14.92000,,335,13.92397,,363,13.30795,,352,13.14218,,358,15.30457,,350,12.62388,,356,12.40233,,343,13.21058,,359,12.38764,,348,10.99302,,358,11.44227,,362,11.48659,,343,10.95642,,358,9.06590,37,346,8.68684,37,304,7.39173,21,266,,,,,,
